DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
01M015,P.S. 015 Roberto Clemente,4,4,3,3,3,3,4,4,3,4,3,0.046,0.26,0.04,0.895,0.405,0.7859999999999999,0.098,0.254,0.601,0.035,7.8,0.625,0.9390000000000001,0.18600000000000003,0.985,4.12,4.09,3.91,3.8,3.99,Manhattan,1,7.462686539,25.37313461,46.26865768,20.89552307,67.16417694,0.3872832369942196
01M019,P.S. 019 Asher Levy,3,4,4,4,4,4,4,4,4,4,4,0.033,0.361,0.111,0.6890000000000001,0.14300000000000002,0.5489999999999999,0.094,0.19699999999999998,0.631,0.066,8.8,0.762,0.914,0.353,0.968,4.27,4.25,4.64,4.1,3.55,Manhattan,1,11.95652199,32.60869598,39.13043594,16.30434799,55.43478394,0.3770491803278688
01M020,P.S. 020 Anna Silver,2,2,2,2,3,2,3,3,3,3,2,0.18600000000000003,0.253,0.091,0.799,0.19899999999999998,0.693,0.309,0.102,0.523,0.026000000000000002,1.8,0.622,0.93,0.27399999999999997,0.9670000000000001,2.76,3.04,1.94,3.64,3.12,Manhattan,1,30.14354134,30.14354134,28.22966576,11.48325348,39.71291733,0.4514038876889849
01M034,P.S. 034 Franklin D. Roosevelt,2,2,2,2,3,3,2,3,3,3,2,0.078,0.37799999999999995,0.027999999999999997,0.93,0.266,0.863,0.034,0.316,0.613,0.031,1.7,0.737,0.9009999999999999,0.391,0.976,2.4,2.45,2.04,3.33,2.32,Manhattan,1,33.64485931,39.71962738,18.22429848,8.411214828,26.63551331,0.66875
01M063,The STAR Academy - P.S.63,3,4,3,4,3,4,4,4,4,4,4,0.011000000000000001,0.35600000000000004,0.006,0.779,0.254,0.638,0.027999999999999997,0.175,0.65,0.107,10.9,0.474,0.927,0.261,0.98,4.53,4.07,4.14,4.01,3.95,Manhattan,1,6.25,35.9375,42.1875,15.625,57.8125,0.3615819209039548
01M064,P.S. 064 Robert Simon,3,3,3,3,3,4,4,4,3,4,3,0.024,0.33299999999999996,0.013999999999999999,0.883,0.233,0.767,0.048,0.21,0.667,0.062,9.8,0.667,0.907,0.386,0.9690000000000001,4.44,3.94,3.54,4.01,3.91,Manhattan,1,26.7441864,40.6976738,25.5813961,6.976744175,32.5581398,0.4095238095238095
01M110,P.S. 110 Florence Nightingale,3,2,2,2,3,3,3,3,3,3,2,0.04,0.132,0.032,0.594,0.16,0.42700000000000005,0.17800000000000002,0.1,0.441,0.249,10.0,0.56,0.9440000000000001,0.177,0.9790000000000001,3.68,3.21,2.51,3.79,3.55,Manhattan,1,10.52631569,15.20467854,39.18128586,35.08771896,74.26900482,0.4899713467048711
01M134,P.S. 134 Henrietta Szold,3,3,3,3,4,3,4,4,4,4,4,0.094,0.43700000000000006,0.11199999999999999,0.905,0.22699999999999998,0.841,0.11599999999999999,0.22,0.606,0.04,4.9,0.7709999999999999,0.9009999999999999,0.42200000000000004,0.965,3.52,3.61,3.49,3.3,3.67,Manhattan,1,32.16783142,37.06293869,25.87412643,4.895104885,30.76922989,0.516245487364621
01M140,P.S. 140 Nathan Straus,2,3,3,3,3,3,3,4,3,3,4,0.102,0.337,0.139,0.9129999999999999,0.218,0.836,0.054000000000000006,0.122,0.7959999999999999,0.023,3.0,0.818,0.895,0.452,0.946,3.25,4.11,3.41,3.12,3.26,Manhattan,1,29.95594788,44.49339294,18.50220299,7.048458099,25.55066109,0.6430594900849859
01M142,P.S. 142 Amalia Castro,3,3,3,3,3,3,3,4,3,4,3,0.08800000000000001,0.409,0.12300000000000001,0.924,0.32799999999999996,0.818,0.023,0.12300000000000001,0.831,0.003,3.0,0.649,0.922,0.282,0.975,3.81,3.91,3.53,4.04,3.68,Manhattan,1,24.24242401,37.37373734,33.33333206,5.050505161,38.38383865,0.32142857142857145
01M184,P.S. 184m Shuang Wen,3,3,2,3,3,3,4,3,3,3,2,0.159,0.166,0.018000000000000002,0.654,0.126,0.49,0.698,0.039,0.128,0.07400000000000001,7.0,0.5379999999999999,0.977,0.045,0.97,2.96,2.75,2.98,3.38,2.91,Manhattan,1,9.047618866,18.5714283,37.38095093,35,72.38095093,0.6471494607087828
